                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3669,                 2.6532,                 1.4941,                0.57216,                0.39413,                0.43941,                0.26758,                 1.5069,                 2.3192,                 1.6159,              0.0003309,              0.0003309,              0.0003309
                      2,                  1.311,                 1.8493,                  1.462,                0.47525,                0.48672,                0.45814,                0.26002,                 1.4981,                 2.0313,                  1.609,             0.00065766,             0.00065766,             0.00065766
                      3,                  1.285,                 1.6469,                 1.4312,                0.49628,                0.52854,                0.50279,                0.28236,                 1.4531,                 1.9825,                 1.5891,             0.00097782,             0.00097782,             0.00097782
                      4,                 1.2646,                 1.4722,                 1.3956,                0.64821,                0.55525,                0.58888,                0.34877,                 1.3632,                 1.5082,                 1.4889,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2066,                 1.3443,                 1.3617,                0.66436,                0.57861,                0.60678,                0.35599,                 1.4845,                 1.6489,                 1.5557,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1591,                 1.2509,                  1.341,                0.67952,                0.60671,                0.67425,                0.43027,                 1.2696,                 1.4332,                 1.3849,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1528,                 1.1968,                 1.3088,                0.72689,                0.61943,                0.68591,                0.42745,                 1.3094,                 1.3078,                 1.4023,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1108,                 1.1266,                 1.3028,                0.78001,                0.59661,                0.70237,                0.44041,                 1.2781,                 1.2992,                 1.4176,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0998,                 1.0738,                 1.2775,                0.76359,                0.62618,                0.70107,                0.47106,                 1.1663,                 1.1205,                 1.3209,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0615,                 1.0405,                 1.2801,                0.75121,                0.68105,                0.74015,                0.48764,                 1.1586,                 1.0312,                 1.2976,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.0547,                 1.0126,                  1.252,                0.78886,                0.69863,                 0.7696,                0.51302,                  1.119,                0.96351,                 1.2608,               0.000901,               0.000901,               0.000901
                     12,                 1.0411,                0.95724,                 1.2424,                0.83652,                0.65694,                0.75133,                0.50202,                 1.1259,                0.97421,                 1.2737,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.0252,                0.93119,                  1.232,                0.78766,                0.71463,                0.76299,                0.51192,                 1.1233,                0.97144,                 1.2566,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.0296,                0.94354,                 1.2443,                0.84315,                0.67229,                0.78038,                 0.5093,                 1.1527,                 1.0067,                 1.2834,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0122,                0.91019,                 1.2253,                0.81428,                0.71118,                0.78227,                0.52869,                 1.0977,                0.92947,                 1.2617,              0.0008614,              0.0008614,              0.0008614
                     16,                0.98532,                0.88245,                 1.2125,                0.82242,                0.72597,                0.78234,                0.54203,                 1.0588,                0.90372,                 1.2139,              0.0008515,              0.0008515,              0.0008515
